Station,Hour,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),20,0.9951034247260513,0.9418735916067803,0.6322452124902938,0.45492793309783425,0.5829547107537268,-0.011134219232820068,0.051305976100824095,-0.13178446285962422,0.20662001881890887,-0.4038821407227642
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),21,0.9941894701244676,0.9283759662300395,0.6490545621101098,0.34645353706432414,0.3226507700886634,-0.10454458066798354,0.072298327010624,-0.07227811607211879,0.17483410363443305,-0.2518985405702292
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),22,0.9973406763480078,0.9235548862159914,0.6553408755869007,0.280355641522901,0.2904387745694904,0.025673374619818296,0.29676984934928263,-0.30171398371050245,0.23358555808609702,-0.39305863984616324
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),23,0.9954493479917184,0.913571426558968,0.6603835001365532,0.24123347766091058,0.10956845958916551,0.09914350211226974,0.2107919211083247,-0.1686354234996039,0.21714060377998254,-0.6044862521471536
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),0,0.9678451208128691,0.8750775651785413,0.31199014287901666,-1.0,,-0.2203475822105196,-0.4532654811091268,0.09524883328550587,0.4343910508458383,0.2528312492749725
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),1,0.9373523403987614,0.8551305187586746,0.3606853962829378,-0.9999999999999998,,-0.22061711426257483,-0.38536052556116157,-0.16578750118273364,0.39814623300197405,-0.2845296922268124
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),2,0.9580112344825511,0.8649531584567263,0.34626998934599656,-1.0000000000000002,,-0.10844247851508727,-0.3323467607994199,-0.08475212212252642,0.34811797029582503,-0.15648861521998036
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),3,0.9510156436364902,0.8523350114738099,0.2629374543216402,-1.0000000000000002,,0.030602260464034924,-0.41737870866825216,-0.212348143653125,0.4151058663774895,-0.12754668176070813
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),4,0.966660874408659,0.8869888181266394,0.21169566993986258,-1.0000000000000002,,0.07464233830540112,-0.4431212255198025,0.08230140121620447,0.4115819893566943,-0.0011462256073971227
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),5,0.9995502082598773,0.8343796811757191,0.4076378245306108,0.9999999999999993,,0.005312683186199308,-0.26612778932627956,0.2416741550806774,0.33047812917254754,-0.056193367210611876
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),6,0.9952942080580289,0.7376761093135927,0.23417922621344817,0.9999999999999994,,-0.04091249068485698,-0.26753404593425223,0.1146944045650624,0.13027615338761664,0.16582017012549327
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),7,0.9083429114644772,0.8660245574947583,0.5350265996060202,1.0,,-0.5659730013649386,-0.40808348111004844,0.2959876930307405,-0.17057435958964198,0.5509821520999839
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),8,0.8756752679901809,0.45746025004288465,0.21696847113401743,,,0.017671238085155413,-0.057771812949429825,-0.3039402453879365,0.3073121669597911,0.2332126848375711
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),9,0.9904206654891897,0.5313495337603089,0.6374778054555871,,,0.34630922288089155,0.009844012771286792,0.1919888922428591,-0.33556577121458353,0.5269526963832647
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),10,0.9965453198246241,0.6052173403311804,0.008545943886317516,1.0000000000000002,,-0.04681864634847056,0.05231862324062557,-0.3012116605453135,0.13232677210741403,0.014547476954626042
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),11,0.999353518166363,0.6978405340773585,0.5529010084421457,1.0,,0.3795920523095647,0.0636632791452796,-0.3174775155769431,0.23282977318840217,-0.20643366785810366
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),12,0.9902073421381785,0.8081922387100622,0.502854655928715,1.0,,0.30331335573478374,0.10324048316642484,-0.43404377904554203,0.08458967917969,-0.2504855929205397
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),13,0.9268757784926288,0.6607419241269752,0.3837442390804702,-0.9999999999999999,,0.3477868671675422,0.18566800128818206,-0.4174842584270883,0.024457328052072066,0.036811204691558935
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),14,0.9903150169240306,0.6881498308392994,0.5570784652340404,-1.0,,0.21045057477482237,-0.01233976561263213,-0.172792671734671,0.18257065969406472,0.3599352429599798
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),15,0.9796774942122377,0.8240936670029864,0.3579678057330348,1.0,,0.08382309049521995,0.06722323729761726,-0.20867670107281863,0.13809450938352702,0.1556739134892226
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),16,0.9966596332442663,0.8120826826602978,0.5749971558890438,1.0000000000000002,,-0.09256097478297601,-0.009235008733738202,-0.11192553456479193,0.135136248757793,0.34879493400965217
